time,temperature,humidity,precipitation,wind_speed,city,country,latitude,longitude,timezone,fetched_at
2026-04-13 11:00:00,30.9,30.0,0.0,7.4,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 12:00:00,32.0,26.0,0.0,7.6,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 13:00:00,32.9,25.0,0.0,7.7,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 14:00:00,33.1,24.0,0.0,7.7,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 15:00:00,33.0,24.0,0.0,7.7,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 16:00:00,32.8,25.0,0.0,7.5,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 17:00:00,32.5,27.0,0.0,6.9,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 18:00:00,31.0,32.0,0.0,4.9,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 19:00:00,29.0,41.0,0.0,3.6,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 20:00:00,27.7,46.0,0.0,3.3,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 21:00:00,26.9,48.0,0.0,3.3,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 22:00:00,25.9,50.0,0.0,3.8,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-13 23:00:00,25.1,53.0,0.0,3.6,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 00:00:00,9.5,66.0,0.0,24.1,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 01:00:00,9.1,66.0,0.0,19.8,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 02:00:00,9.2,66.0,0.0,20.5,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 03:00:00,9.4,68.0,0.0,19.8,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 04:00:00,8.5,72.0,0.0,18.4,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 05:00:00,8.6,73.0,0.0,17.6,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 06:00:00,8.7,71.0,0.0,18.7,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 07:00:00,8.6,74.0,0.0,15.8,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 08:00:00,9.2,69.0,0.0,16.6,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 09:00:00,10.2,62.0,0.0,17.6,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 10:00:00,11.0,57.0,0.0,18.0,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 11:00:00,12.2,49.0,0.0,16.9,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 12:00:00,12.7,52.0,0.0,17.3,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 13:00:00,13.2,47.0,0.1,17.3,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 14:00:00,14.2,42.0,0.0,18.4,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 15:00:00,14.3,41.0,0.0,19.8,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 16:00:00,14.2,44.0,0.0,16.6,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 17:00:00,13.7,43.0,0.0,14.8,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 18:00:00,11.1,74.0,0.4,10.1,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 19:00:00,11.6,60.0,0.0,13.7,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 20:00:00,10.7,59.0,0.0,14.0,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 21:00:00,10.5,63.0,0.0,10.4,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 22:00:00,9.3,73.0,0.0,7.6,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 23:00:00,8.7,73.0,0.0,6.5,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 00:00:00,7.9,73.0,0.0,8.6,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 01:00:00,7.1,78.0,0.0,7.6,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 02:00:00,6.4,82.0,0.0,2.9,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 03:00:00,6.4,82.0,0.0,5.8,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 04:00:00,6.3,84.0,0.0,5.8,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 05:00:00,5.7,83.0,0.0,5.8,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 06:00:00,4.9,86.0,0.0,1.8,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 07:00:00,4.7,86.0,0.0,2.5,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 08:00:00,5.9,83.0,0.0,2.2,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 09:00:00,8.3,75.0,0.0,3.2,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 10:00:00,10.0,64.0,0.0,4.0,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 11:00:00,11.2,53.0,0.0,5.8,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 12:00:00,11.7,49.0,0.0,3.6,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 13:00:00,12.4,43.0,0.0,4.7,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 14:00:00,11.5,63.0,0.2,9.4,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 15:00:00,11.7,57.0,0.2,4.0,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 16:00:00,12.5,54.0,0.0,7.9,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 17:00:00,12.1,54.0,0.0,5.0,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 18:00:00,12.4,54.0,0.0,4.7,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 19:00:00,12.3,53.0,0.0,3.2,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 20:00:00,11.7,61.0,0.0,7.2,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 21:00:00,10.8,66.0,0.0,6.8,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 22:00:00,10.4,66.0,0.0,7.6,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-13 23:00:00,9.9,63.0,0.1,9.4,London,United Kingdom,51.51147,-0.13078308,Europe/London,2026-04-14T16:51:43.332373+00:00
2026-04-12 00:00:00,10.5,36.0,0.0,13.3,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 01:00:00,9.1,43.0,0.0,13.2,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 02:00:00,8.0,44.0,0.0,11.8,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 03:00:00,6.8,48.0,0.0,5.2,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 04:00:00,5.9,50.0,0.0,5.1,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 05:00:00,5.0,53.0,0.0,5.1,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 06:00:00,4.2,58.0,0.0,4.0,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
